,competênciamov,município,seção,saldomovimentação,sexo,graudeinstrução
201,2023-01-01,Pb-Bayeux,Saúde Humana e Serviços Sociais,-1,Mulher,4
202,2023-01-01,Pb-Bayeux,Saúde Humana e Serviços Sociais,1,Homem,1
203,2023-01-01,Pb-Bayeux,Saúde Humana e Serviços Sociais,1,Mulher,3
204,2023-01-01,Pb-Bayeux,"Transporte, Armazenagem e Correio",-1,Homem,5
205,2023-01-01,Pb-Bayeux,"Transporte, Armazenagem e Correio",-1,Mulher,2
206,2023-01-01,Pb-Bayeux,"Transporte, Armazenagem e Correio",1,Homem,8
207,2023-01-01,Pb-Bayeux,"Transporte, Armazenagem e Correio",1,Mulher,1
208,2023-01-01,Pb-Belem,"Atividades Profissionais, Científicas e Técnicas",-1,Mulher,1
209,2023-01-01,Pb-Belem,"Atividades Profissionais, Científicas e Técnicas",1,Mulher,1
210,2023-01-01,Pb-Belem,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,1
211,2023-01-01,Pb-Belem,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
212,2023-01-01,Pb-Belem,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,4
213,2023-01-01,Pb-Belem,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
214,2023-01-01,Pb-Belem,Indústrias de Transformação,-1,Homem,6
215,2023-01-01,Pb-Belem,Indústrias de Transformação,1,Homem,3
216,2023-01-01,Pb-Belem,Indústrias de Transformação,1,Mulher,2
217,2023-01-01,Pb-Belem,Outras Atividades de Serviços,-1,Mulher,1
218,2023-01-01,Pb-Belem,Outras Atividades de Serviços,1,Homem,1
219,2023-01-01,Pb-Belem,Saúde Humana e Serviços Sociais,1,Mulher,1
220,2023-01-01,Pb-Belem,"Transporte, Armazenagem e Correio",-1,Mulher,1
221,2023-01-01,Pb-Belem do Brejo do Cruz,Indústrias de Transformação,-1,Homem,1
222,2023-01-01,Pb-Belem do Brejo do Cruz,Indústrias de Transformação,-1,Mulher,1
223,2023-01-01,Pb-Belem do Brejo do Cruz,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",-1,Homem,1
224,2023-01-01,Pb-Belem do Brejo do Cruz,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",1,Homem,1
